t,midx1,midy1,midx2,midy2,midx3,midy3,midx4,midy4,midx5,midy5,midx6,midy6,midx7,midy7,midx8,midy8,midx9,midy9,midx10,midy10,midx11,midy11,midx12,midy12,midx13,midy13,midx14,midy14,midx15,midy15,midx16,midy16,midx17,midy18
0,1141.155151,630.550415,1354.155762,639.0592041,1564.356201,664.932312,1909.600464,665.7387695,2169.731934,594.5881348,2376.081787,489.4199524,2541.021729,484.9242249,1434.174194,722.671875,1482.853394,794.7185669,1543.966309,834.3079834,1554.695923,773.0588989,1543.152954,732.6697998,1440.931763,580.0450439,1495.040161,562.4749146,1611.328735,551.1326904,1622.405518,580.451416,1607.404541,595.7182617
1,1137.470093,630.4407349,1349.328735,637.1456299,1563.498657,665.1688843,1914.225464,671.6687622,2179.444336,595.1060791,2374.001953,488.4701233,2535.555664,474.2732239,1433.803589,722.348877,1484.03418,790.9776611,1545.071655,829.1276245,1553.480347,772.545166,1542.623901,732.4829102,1437.885986,577.4376221,1494.305664,558.0071411,1608.170532,545.8330688,1617.865234,574.9921875,1603.749878,593.9393311
2,1133.95459,631.0003052,1345.136108,635.1876221,1987.339722,669.4961548,1917.05603,678.2012939,2182.093018,609.3883057,2371.201172,493.1073608,2527.768555,470.9497375,1434.791992,720.3896484,1487.397827,786.7635498,1546.529297,823.3911743,1555.896606,770.0770874,1542.999512,731.6745605,1433.9104,575.4127808,1488.079224,552.8897095,1603.10144,540.0712891,1612.803223,571.0516968,1598.627319,590.833252
3,1131.891724,631.0889282,1336.078003,631.2206421,1565.905273,654.5584717,1915.697632,683.086853,2234.407471,589.6201172,2356.624512,506.4938965,2521.917969,466.5130615,1434.382813,719.2788086,1491.167725,783.8625488,1551.038696,814.9949951,1558.248657,767.385376,1543.765747,727.8453369,1431.526123,570.4968262,1485.830566,548.3071899,1589.861938,528.7432251,1607.815796,562.8948364,1596.885498,589.7203369
4,1128.961914,630.7632446,1334.662598,629.4672241,1563.428101,650.0740356,1920.428345,687.5151367,2160.871582,645.1417236,2355.793213,516.1560669,2517.571045,461.5836792,1433.753662,716.6090698,1495.047974,777.9108276,1551.839966,805.4344482,1560.859375,763.3264771,1541.732178,722.9678345,1429.210693,567.5596924,1484.870605,542.3998413,1586.338135,523.9002686,1604.272583,558.5374146,1590.773926,584.4954834
5,1127.429443,629.2189331,1333.151978,626.4293823,1562.855957,648.5160522,1876.107178,691.8759766,2187.693115,641.5608521,2355.88501,530.43396,2535.049072,392.796875,1432.972168,710.4723511,1491.393799,769.62854,1550.679199,793.427063,1562.239258,759.5528564,1550.262085,724.8653564,1427.373169,563.1426392,1485.925537,536.2136841,1584.050293,516.6455688,1987.692749,621.2249146,1591.834839,579.977417
6,1125.165161,626.4979858,1326.186646,623.1107788,1987.081909,689.7199097,1875.704102,691.65271,2195.515869,649.7380981,2357.197998,544.6149292,2530.187256,399.6871948,1431.271606,704.7736816,1489.514282,760.7549438,1554.770386,787.4702759,1566.580566,754.4342041,1549.937378,718.1311646,1424.516479,558.2354736,1488.782349,527.020813,1967.99353,614.7509766,1988.365234,623.6942749,1580.884155,575.0294189
7,1122.262939,623.9300537,1323.49646,620.4283447,1557.260864,644.09729,1874.537964,690.632019,2186.478516,663.94104,2355.993896,555.711731,2529.559814,418.0645752,1433.431885,706.2096558,1485.965332,752.8875732,1554.496826,779.0133667,1568.404419,750.213623,1554.24292,717.5169067,1421.638184,553.7132568,1483.747192,521.4707031,1573.694092,502.8680115,1989.168823,626.3425293,1986.959351,646.8012695
8,1119.842407,621.423584,1325.299438,612.8903198,1559.124756,634.5761719,1871.439697,688.1497192,2198.66333,668.8617554,2348.133545,572.6370239,2534.731445,436.3046875,1436.10083,705.2456055,1491.708496,747.2658691,1554.279541,769.2046509,1569.560913,741.9836426,1554.393311,707.0704956,1417.479858,548.4663696,1484.344238,514.5748291,1571.862549,496.4577026,1989.149414,628.7080078,1571.333862,561.7766113
9,1117.366089,617.6415405,1314.111206,606.5541992,1560.915771,631.5707397,1871.288574,683.7919312,2202.027344,676.2467041,2341.033691,589.1969604,2537.804443,452.1984558,1436.174805,699.8918457,1496.572144,742.149353,1554.104492,759.321228,1569.368164,732.5050659,1560.02124,705.7510986,1414.041138,543.4022217,1473.101685,513.6866455,1571.179688,490.7280884,1987.692139,629.2553101,1567.444458,557.2185059
10,1115.18396,613.821228,1308.875366,601.8060913,1558.795532,624.5737305,1870.492798,679.532959,2232.329834,678.5889893,2335.852539,602.2486572,2543.560303,464.9329529,1433.214478,692.376709,1501.259766,734.5567017,1554.296143,748.9781494,1565.711426,723.2841187,1559.942261,701.8892822,1412.553223,538.2416992,1469.55542,507.6955872,1566.947021,484.6328735,1985.167236,628.0988159,1565.393433,551.7786865
11,1113.200073,612.1097412,1303.543335,597.6798096,1559.357178,616.5361328,1872.134277,668.8704834,2203.802002,690.7530518,2338.301514,612.6829224,2545.658691,480.222168,1435.931519,689.2747192,1499.988892,723.1782227,1554.699219,738.012085,1561.796509,718.5645142,1559.785278,706.649231,1407.299561,532.8009033,1464.225464,504.1125183,1565.448975,480.0535278,1984.726685,625.201416,1564.77356,546.2283936
12,1110.919189,608.3905029,1302.582397,591.725769,1562.728027,612.9684448,1869.841675,664.0327759,2210.974365,693.4962158,2339.304199,621.5059814,2547.968018,497.1091614,1429.894897,683.2288818,1500.481201,715.2040405,1554.184937,729.1051025,1564.806519,712.4125977,1941.702026,747.9849243,1399.823975,528.3896484,1454.067749,503.2721863,1560.244141,475.3832703,1573.82959,508.6828613,1969.479248,638.1644287
13,1107.969971,606.656311,1297.826782,586.4659424,1560.895386,610.8527832,1870.047607,658.8378296,2205.104492,699.3378296,2341.01416,628.880188,2548.740723,517.6523438,1428.135254,678.3217163,1469.852051,695.0576782,1548.533203,718.9655762,1561.378906,704.3950195,1563.233765,698.2686768,1401.03064,522.2410889,1460.391357,492.8873596,1559.008057,470.7389221,1979.497925,616.0142212,1561.235596,535.4963379
14,1105.843018,603.670166,1299.863037,581.5543213,1556.234253,599.8546753,1870.782227,654.1893921,2457.569824,588.7056274,2342.244629,636.5361328,2548.29126,534.0045776,1423.047241,671.1269531,1467.919312,687.7869263,1549.098389,709.7925415,1560.869751,696.8004761,1563.588013,692.9855347,1398.0979,517.7982178,1460.636108,488.1701355,1554.199829,464.5464783,1569.285034,497.2175598,1559.678101,527.5693359
15,1103.324707,600.9906006,1294.341187,577.5866699,1938.648315,674.3691406,1869.140869,648.7525635,2199.423828,703.5334473,2350.843994,641.4436035,2546.701416,544.1488037,1420.245361,665.6581421,1469.668823,682.8442993,1514.238525,697.4277344,1554.440674,691.8276367,1557.479126,686.3997803,1392.80603,513.1427612,1454.653564,481.333252,1976.231445,579.6600342,1977.083862,606.5119019,1553.588135,521.9086914
16,1100.799561,597.9766235,1298.98877,574.9592285,1943.013184,669.1677246,2197.643311,707.2892456,2193.572998,705.8366089,2352.966553,647.6947632,2548.175781,551.8272095,1419.460815,660.7703247,1494.824829,684.5023193,1513.249756,689.1827393,1548.00293,684.8634033,1555.232544,674.5991211,1388.344482,509.1076965,1452.214844,476.3948669,1974.552856,573.168335,1974.380127,601.4403687,1548.652466,515.8673706
17,1098.878174,596.4420776,1289.984619,571.3580322,1945.964478,665.0737305,1850.640137,631.1817017,2459.239258,621.2166748,2353.508057,655.6373291,2550.439697,563.444458,1419.90979,658.0614624,1445.39209,669.5200195,1517.151489,682.7711792,1540.610352,679.4504395,1548.161499,673.7971802,1384.748657,504.4814453,1455.144531,468.4820251,1546.545532,449.293457,1972.523804,595.1761475,1957.895508,613.19104
18,1096.540283,595.9053955,1292.363403,569.1063843,1945.909546,661.2058716,1841.226929,635.2622681,2458.151611,630.46521,2375.70752,655.632019,2548.922119,578.7481079,1417.999878,653.0717163,1437.229736,663.4663696,1520.554077,677.7924194,1539.792236,672.0936279,1547.51062,665.6588135,1381.740601,500.8139954,1887.445435,555.7130127,1541.53833,439.7041321,1969.903076,586.8964844,1955.22937,606.3069458
19,1095.585083,595.1810913,1292.834351,566.6033936,1514.946289,562.8861694,2201.699219,703.9908447,2475.80957,635.7049561,2374.763672,663.4137573,2550.899414,589.8127441,1418.666748,650.3185425,1438.095703,659.4346924,1512.657349,673.5429688,1539.458496,668.0175171,1548.420166,659.8199463,1376.122803,498.1756287,1886.580444,546.5941162,1967.638794,550.7033691,1966.547974,578.3016357,1948.712646,600.3635864
20,1093.820313,593.7980957,1293.269043,565.5874634,1469.918213,546.559082,2192.55249,699.7877197,2325.748535,687.0710449,2377.307861,671.8095093,2550.872314,609.9154053,1418.219604,648.1134033,1441.078735,657.7721558,1511.260254,668.541687,1543.730713,664.6962891,1552.99707,653.9797363,1372.976807,496.3483582,1437.434204,451.6143799,1968.999023,538.5024414,1962.104858,565.8164673,1941.974365,587.9116211
21,1091.307129,592.9083862,1291.89563,563.2972412,1541.337646,573.1294556,1843.588013,601.5571289,2321.830811,688.8106689,2391.91333,674.1676636,2555.64209,625.446167,1408.191528,642.2401733,1485.025635,665.2105103,1531.458984,671.682373,1549.092773,661.9688721,1554.031738,653.2356567,1370.547241,496.2807007,1435.880615,446.213501,1524.841187,417.8083801,1956.550781,553.125061,1939.312988,578.8424072
22,1089.205688,590.7967529,1289.941162,561.8550415,1541.046143,573.3366089,1840.891602,601.9177246,2322.652588,690.4352417,2377.603027,684.7564697,2509.750244,654.8815308,1410.184326,643.4105835,1459.892578,661.3082886,1541.467407,672.9008789,1548.897461,656.6243896,1548.451294,647.5200806,1368.803955,494.8163452,1435.641968,443.5527344,1958.829224,500.984314,1950.49585,536.0593872,1930.80603,567.6035767
23,1086.67749,589.2868042,1287.894775,561.159668,1908.769897,614.4873047,1826.1875,587.0987549,2193.820801,685.4265137,2402.619141,687.31604,2517.372559,665.9798584,1409.21875,644.0338745,1461.071533,662.9907837,1542.310791,675.7002563,1548.505005,654.8809204,1542.92334,639.3008423,1366.655518,494.3027954,1434.484131,442.1573486,1520.369629,413.7036133,1944.335571,521.5610962,1924.389648,556.1158447
24,1084.435303,588.196228,1289.048096,559.8108521,1911.249023,604.0454712,2232.41333,683.9232178,2316.306641,689.2068481,2412.427246,690.2174683,2523.971924,673.2358398,1406.56311,644.0650024,1462.286377,666.5842896,1538.981812,677.0501709,1544.484985,654.7064819,1542.674194,635.0612183,1365.026367,494.2929993,1433.403076,442.6331482,1517.338623,414.1714478,1935.241699,508.031311,1919.411865,546.0092773
25,1082.116943,586.0683594,1289.699219,560.0946045,1908.013062,594.8487549,2225.129639,673.4082031,2397.634766,692.6706543,2404.419434,690.1012573,2529.347168,685.9979858,1403.35498,644.8786621,1463.555664,670.1239014,1539.012451,679.3323364,1542.044067,655.7910767,1540.026611,633.3921509,1363.468262,494.8968506,1430.52832,444.2251587,1516.844971,415.5428162,1525.495483,455.0187683,1507.765991,489.7590942
26,1080.701172,584.8358765,1291.24646,560.4024658,1904.672241,586.1300659,1840.151245,570.9346924,2093.403809,626.4532471,2403.960938,690.4788818,2527.950195,697.8752441,1394.008545,638.8822021,1467.109497,673.5198364,1537.191772,681.2822876,1541.56958,656.7501831,1537.316528,634.3289185,1360.790405,496.2851868,1427.724121,445.9870605,1513.74646,416.9174805,1524.598877,456.0028687,1507.031616,490.4519653
27,1078.683472,582.7363892,1294.801147,561.7201538,1904.675537,581.263916,1839.514282,566.6522217,2303.171631,661.6480103,2405.861328,689.1356201,2524.183105,707.6574097,1401.943115,644.9437866,1468.68396,678.302063,1532.9375,685.7984009,1540.249146,660.388916,1537.451416,639.9295044,1360.361206,496.8907166,1422.35144,448.4830017,1515.578857,421.2894592,1523.577026,458.4065857,1505.018677,491.0432739
28,1077.254883,582.5390015,1297.395142,562.7827759,1903.504639,576.5097656,1838.344604,562.8571167,2427.455566,695.0726929,2403.789063,683.7383423,2527.616943,712.7819214,1392.634521,644.4776001,1465.829102,682.6808472,1527.21106,691.5154419,1537.107788,664.4446411,1529.189819,645.0505371,1359.326782,499.2466125,1425.807617,449.1041565,1515.194946,424.9053955,1522.465698,460.9142761,1504.303833,491.9537354
29,1074.886719,581.4954834,1294.141846,564.3441772,1901.144165,570.4957886,1807.325562,565.6933594,2387.14209,667.755249,2406.275879,673.2393799,2514.759766,720.4504395,1387.071655,645.7874756,1452.68811,687.6298828,1519.483398,703.9443359,1530.756226,674.3572388,1522.039429,645.711792,1357.817261,501.4964294,1839.131348,462.9934387,1519.290405,430.8284302,1522.42981,464.2901917,1502.852051,494.1908264
30,1073.998169,580.1465454,1293.855347,566.2912598,1488.206787,567.9421387,1807.728638,564.7666016,2312.947754,628.5495605,2399.943359,657.9645386,2529.958252,717.791626,1381.561646,645.2903442,1447.098633,695.5487061,1510.613281,710.0184326,1522.712402,677.138855,1511.151367,645.1791382,1357.21521,503.7878723,1432.637695,452.9537964,1518.830322,434.7038574,1523.749756,468.010437,1503.129639,497.6557922
31,1072.188843,579.3817139,1294.137451,568.7904053,1485.877075,569.1411133,1808.05896,564.74823,2316.273193,616.5899658,2405.989746,651.4749146,2529.842285,711.8065186,1376.720459,646.3209839,1438.526733,704.6426392,1503.756714,727.1463623,1513.299072,683.9299316,1504.337891,653.982605,1355.494263,505.8439026,1410.6604,469.3113403,1518.098145,437.553894,1524.382568,470.715271,1508.204712,499.5508423
32,1070.172119,579.2799683,1293.032104,570.3005371,1902.666504,561.1351929,1808.451172,564.7237549,2386.723877,628.3261108,2386.897949,626.3978271,2544.723633,707.8862915,1370.42627,649.7844238,1428.064941,713.5615845,1488.197021,740.3084717,1498.29541,688.4492798,1483.128052,652.6304321,1355.198608,508.1492615,1428.538696,462.9205627,1517.13562,441.8625488,1524.257568,473.2773743,1516.068848,502.245697
33,1070.125488,581.3361206,1288.218384,571.7276611,1902.20874,557.0211792,1810.480591,563.961792,2282.267822,583.6756592,2434.793213,636.7158203,2543.683594,696.9868774,1362.440308,649.7232056,1419.504517,722.3120117,1478.639648,754.3826294,1486.426758,696.4804688,1470.740845,655.1608887,1353.818604,510.5029907,1409.816772,475.9610596,1515.689941,447.2215881,1524.548462,478.3910522,1518.439209,505.2528687
34,1067.625366,580.8931274,1287.387085,575.6304932,1481.92041,579.8453979,1809.468994,564.5306396,2322.456787,578.9089355,2386.180664,598.9313965,2537.693604,676.87323,1359.594727,650.3486328,1402.672729,721.239502,1473.100708,764.5042725,1469.450073,698.8127441,1461.963501,661.3543701,1355.393555,512.4797974,1406.300049,483.4492798,1515.179932,449.3825989,1527.949097,482.172821,1521.451538,509.5013123
35,1065.124023,581.475708,1286.859009,579.6867676,1480.851929,584.5149536,1812.211304,565.2086792,2339.080078,568.6247559,2408.448486,592.9891357,2534.850098,658.3169556,1357.224609,654.0429688,1398.27356,728.0341187,1462.79187,773.366333,1464.208984,702.947937,1455.89563,667.5377197,1354.694092,515.5175171,1406.391357,485.7206726,1513.001099,454.3886414,1528.797241,487.0760803,1523.510742,512.6987915
36,1063.902466,580.744812,1281.819458,580.8265991,1478.160522,588.3555298,1823.188721,565.4329224,2298.475098,551.074585,2405.807373,577.135437,2531.204834,642.8317261,1354.772949,655.2619019,1396.117065,734.7354126,1459.005005,780.2765503,1462.91272,704.6555176,1453.820313,669.7869873,1354.759033,517.80896,1409.855835,487.3676453,1895.486816,447.6621399,1531.815674,490.8284302,1522.224731,516.3182983
37,1061.734009,579.0689697,1279.55957,582.6988525,1477.369385,592.850708,1809.880493,571.9197388,2167.307617,538.083374,2400.876465,561.0949707,2529.481445,624.9574585,1352.095947,657.8503418,1403.028442,752.9953003,1452.814697,785.708374,1461.092773,709.5592041,1453.148071,671.4627075,1353.956909,519.2825317,1408.744507,491.8604126,1894.837158,454.0336914,1532.193115,496.0734863,1525.069824,520.4733887
38,1062.04126,581.276123,1278.407593,584.6993408,1476.595703,593.3535767,1808.869019,574.5922241,2315.268799,530.0646973,2392.167236,546.4337769,2533.023682,608.9469604,1349.040039,659.5407715,1383.283569,736.3526611,1447.217896,789.9759521,1459.497314,714.2567749,1450.1427,671.8258667,1353.368774,520.4858398,1413.00769,492.1932068,1894.189331,460.3193054,1533.945679,500.4191895,1525.338257,523.6977539
39,1061.172607,581.3505859,1272.510132,585.7626343,1905.757813,565.3258667,1805.540649,578.8584595,2369.804932,530.8706665,2391.340088,534.5769043,2531.371826,592.5239868,1347.425293,661.2980347,1381.764038,740.2262573,1444.109741,793.1112061,1457.681274,715.3451538,1449.731567,672.2323608,1354.069702,522.2397461,1415.44873,494.7469788,1514.757446,472.7996826,1534.811768,504.1647034,1525.139282,526.909729
40,1059.981445,581.9882813,1269.46814,587.0725098,1910.557251,567.2595825,1805.514526,582.9073486,2120.155273,530.6700439,2375.062744,521.414917,2531.908691,577.4350586,1346.364258,663.6574707,1381.984009,747.0289307,1443.798706,796.1816406,1457.314819,716.6821899,1450.455322,675.2819214,1355.686035,523.1203003,1417.104858,494.7538452,1521.22998,479.6327515,1534.071411,507.1889038,1526.047607,528.8432007
41,1058.577148,583.576416,1264.675171,589.0101929,1913.152832,572.9160156,1810.291992,587.206543,2118.966064,530.9524536,2370.126709,511.3799133,2531.546387,563.0657349,1346.076538,664.6900024,1383.486084,749.6395264,1443.547974,795.7853394,1458.537964,715.6134644,1451.003052,675.0014648,1356.648193,524.260437,1410.621704,499.0916138,1890.896362,476.7210083,1532.396118,508.2478638,1524.382446,530.9955444
42,1057.373657,584.0595093,1260.444702,590.3450317,1912.142822,579.173584,1811.927612,591.0326538,2120.406006,531.8170776,2369.207031,502.0201416,2530.443604,544.7531738,1346.348389,667.7141113,1396.240234,758.3015137,1448.146362,794.6224976,1916.954224,644.2216797,1452.802612,674.3339233,1356.420776,525.8144531,1415.498291,499.4431458,1890.662964,483.0131531,1531.627197,510.0749817,1522.657471,533.5971069
43,1056.35144,584.4747314,1259.035645,591.1349487,1910.612061,583.1130371,1814.743408,594.0709229,2167.966309,531.206543,2364.040527,496.5679626,2527.66626,529.2804565,1346.920532,668.4309692,1402.085571,758.434021,1453.642578,791.1287231,1915.932617,650.1766968,1452.1875,674.2192383,1357.331909,526.2432251,1418.068359,501.0432739,1893.439575,492.4910583,1531.218384,511.2103882,1523.321289,535.9075317
44,1055.135986,585.0479126,1256.493774,592.9076538,1914.122803,587.9961548,1818.153198,597.8475952,2082.42627,552.854187,2355.219727,491.0119324,2524.869385,515.0245361,1346.583618,669.7183838,1404.32312,754.9908447,1459.015137,788.4473267,1914.254028,655.1798096,1456.244019,677.9880981,1355.986328,526.4044189,1414.505249,500.812439,1514.870239,484.743042,1904.702271,522.0708008,1521.761353,537.0725708
45,1055.181641,584.9990845,1247.250244,593.9718018,1917.295288,592.8600464,1818.383667,599.8031006,2081.945068,557.8076172,2345.560547,486.8094788,2525.029297,501.3192444,1346.736938,671.0091553,1404.637085,749.802124,1463.785156,784.6665649,1472.945679,716.1602173,1458.903687,679.1486206,1356.800171,526.02771,1418.948364,498.1639404,1896.8927,514.130127,1909.188232,529.5916138,1520.727539,537.8245239
46,1054.139404,586.3643799,1245.118896,595.2676392,1921.85144,596.9650269,1815.962646,604.5817261,2087.585205,564.3294678,2340.087891,482.7386169,2523.373779,489.0106812,1346.608154,671.0108643,1410.766602,750.1941528,1467.158447,781.3047485,1475.751587,713.2498779,1462.38269,679.0325928,1358.500977,525.3721313,1416.988281,499.4359436,1897.138672,526.0980225,1529.068604,513.6537476,1519.525757,538.3080444
47,1053.05542,588.2255249,1244.390747,595.8815308,1480.717896,603.6663208,1819.210815,610.5237427,2090.160645,572.9837036,2336.269775,479.402771,2522.392578,476.168396,1346.764893,671.210144,1412.161499,746.5402222,1469.894897,777.5258789,1479.79187,713.0238037,1465.252686,679.4338379,1359.448364,523.7000122,1417.287964,498.9375,1507.44043,483.4276123,1529.807129,512.1464844,1519.402832,537.887085
48,1052.863892,589.328186,1243.537231,596.0800171,1894.894409,612.3014526,1816.910278,613.9975586,2091.973877,578.6116333,2335.017578,478.2852478,2529.787842,475.9933472,1346.513306,670.649231,1412.871826,744.2393188,1472.118042,773.9523315,1480.4646,711.4407959,1469.142456,678.1868896,1358.664429,523.468811,1416.552612,498.4833984,1503.638916,483.6169434,1528.531982,513.7062378,1517.008667,534.9699097
49,1051.93457,589.8483276,1243.280151,595.5490723,1894.853516,616.7047119,1814.863403,615.4991455,2091.112549,588.9089966,2333.635986,478.6936951,2527.149902,464.2344666,1346.573242,669.6940308,1403.891113,736.0628052,1472.350342,770.8979492,1484.151733,710.9925537,1471.714355,678.121521,1357.485107,522.2883911,1419.369263,495.9140625,1506.22644,484.2919312,1526.85791,512.1172485,1515.306641,533.8179932
50,1051.472778,590.173584,1241.989258,594.0603638,1895.627075,618.2007446,1814.638306,617.9608154,2097.286133,591.4449463,2316.734131,487.4143372,2524.030518,455.8592834,1346.439087,667.8842773,1404.170288,733.227356,1473.440308,768.5258179,1486.38501,709.7689209,1473.464111,675.9537964,1356.500854,520.8074341,1416.328003,494.9653015,1506.320923,479.0976257,1525.005615,507.8556213,1514.870483,530.8877563
51,1051.060181,590.7435303,1238.356934,591.2788696,1477.952393,595.9278564,1845.854004,622.7416382,2167.877441,576.0947266,2313.280518,490.8361206,2518.385986,444.145752,1346.630371,667.230957,1404.287842,729.8806763,1474.554077,765.0270996,1487.460938,707.1224976,1473.081299,673.230896,1354.285645,517.7488403,1415.90332,490.8684387,1501.142456,475.1644592,1523.600708,504.7351074,1514.122559,529.1015015
52,1051.046875,589.9261475,1238.538086,588.7124023,1477.86731,593.4605103,1844.10022,626.7380981,2173.753174,580.9105835,2312.06958,500.3687744,2513.679932,432.8987427,1346.9552,665.4552612,1402.164307,726.4911499,1474.382446,762.6552734,1487.124756,703.8286133,1472.609375,670.7541504,1351.060669,516.3667603,1408.497681,490.1403503,1494.537964,470.9417419,1518.987061,499.7671204,1513.121948,526.1600342
53,1050.368042,590.4068604,1240.209717,586.8764648,1472.432983,587.7474976,1846.326416,624.7064209,2092.440674,612.7855225,2316.327637,511.3770447,2509.680664,434.4986267,1346.876343,664.0194092,1399.22937,719.8935547,1473.35376,758.390686,1487.764771,699.5916748,1473.110718,668.8509521,1349.96228,514.3944092,1407.811523,485.8851929,1493.829834,462.3986816,1517.060547,494.0808716,1510.06897,522.5808105
54,1050.602783,589.1159058,1238.719971,582.8915405,1476.135986,587.8334961,1846.163818,624.5186157,2094.901123,618.0046387,2319.541748,521.2704468,2508.216309,428.7021484,1346.890259,661.3134155,1402.549561,718.3999023,1472.899658,754.4777222,1488.182983,699.1894531,1475.071777,665.4572754,1347.2229,511.5602417,1405.377441,479.2733765,1501.272705,456.4794617,1513.97937,489.7073059,1506.830322,518.4345703
55,1050.560181,588.6733398,1243.174072,579.4711304,1477.801758,583.1357422,1879.502197,627.3067627,2075.200928,623.5172729,2314.28833,535.4367065,2507.406006,424.1205444,1348.20459,655.5354004,1405.650757,716.7593384,1477.118896,749.069519,1489.398315,699.1376953,1474.977539,660.7385864,1344.051758,506.8364563,1404.854614,472.3577881,1490.959961,447.1329651,1509.929932,482.9862976,1494.194946,514.3894653
56,1050.512939,586.9711304,1239.897217,576.2895508,1476.633911,580.0881348,1823.949219,617.232605,2072.739258,629.9406738,2318.853027,544.5994263,2508.98291,443.2836304,1347.941406,651.2592773,1404.87146,710.6113281,1478.236572,742.3009033,1489.496094,694.890625,1477.312866,659.3365479,1341.417969,503.8276367,1396.259766,464.3830872,1488.288818,437.6400452,1505.20874,477.0364685,1490.846802,511.5733337
57,1050.278564,586.0358887,1237.829224,574.1925049,1475.565186,576.4074707,1808.562622,611.6772461,2182.162354,626.0880127,2321.412598,557.9258423,2513.753662,450.056427,1349.731445,649.2063599,1407.095215,705.3292236,1478.635376,737.1741943,1490.189941,690.1902466,1478.405762,656.1663818,1338.130859,501.0204163,1391.748657,459.6889038,1475.689331,424.6391907,1911.398315,571.2515869,1485.789307,507.6357422
58,1050.012939,585.1133423,1239.325928,572.0698853,1472.075562,570.9754028,1808.502197,606.8897705,2182.813965,631.9016724,2353.70166,558.2633667,2517.006836,459.0774841,1349.238403,646.355957,1408.810059,702.0231934,1478.984009,729.8880005,1493.352173,687.0878906,1479.210449,652.8407593,1334.660645,497.4544373,1389.931885,451.4884644,1475.075439,416.9378662,1913.988403,568.6794434,1480.545776,502.5327454
59,1049.894653,583.7142944,1245.140503,568.6325073,1472.766357,567.1299438,1807.006592,602.1407471,2189.145508,636.1587524,2345.161865,574.000061,2516.671387,464.3823853,1348.865234,643.6113892,1413.118774,699.7124023,1478.37207,725.3497314,1492.241089,682.9268799,1480.148071,649.2401123,1334.669678,494.6799316,1384.812866,449.0510254,1474.606689,406.5328064,1914.206421,566.1271973,1477.108398,497.0834961
60,1049.936279,583.1204834,1246.353882,564.4227905,1466.974365,559.0871582,1813.633545,599.9326782,2188.537842,639.1835327,2334.857666,591.397583,2518.807373,483.7763062,1349.188477,641.7416382,1413.236816,695.121521,1481.694092,722.1779175,1493.117188,679.2288208,1479.567505,643.1591187,1333.437744,492.4660034,1387.723022,439.2131958,1471.461914,399.8742065,1913.437378,563.1912842,1466.704468,491.6625061
61,1049.86731,582.552124,1246.46936,563.4769287,1468.110107,556.8502808,1807.559082,596.9049683,2190.750488,643.2503662,2341.01709,600.6506348,2523.565674,497.6985168,1349.877441,637.6609497,1414.226074,690.6777954,1482.4552,714.993042,1493.705322,673.6719971,1483.29126,641.2201538,1331.283813,488.9928894,1387.434937,435.2119446,1473.690063,395.7839355,1473.965942,448.025116,1454.911621,489.4310608
62,1049.862305,583.163147,1246.186523,562.2885132,1452.884644,550.7910767,1810.666748,590.8746338,2188.396484,646.2729492,2339.981689,610.6987915,2531.895752,504.4516907,1352.010498,633.5952759,1418.377563,688.081665,1481.58374,710.263916,1495.225342,670.3325195,1481.821899,635.371582,1330.986816,487.427063,1379.420288,437.631897,1905.641846,531.6976318,1471.766479,447.6801453,1455.442627,486.2956543
